,WEEK_OF_YEAR,TIME_PRECISION_x,LATITUDE_x,LONGITUDE_x,GEO_PRECISION_x,FATALITIES_2020_WEEKLY_x,EVENT_COUNT_2020_WEEKLY_x,DAY_OF_YEAR_x,TIME_PRECISION_y,LATITUDE_y,LONGITUDE_y,GEO_PRECISION_y,FATALITIES_2020_WEEKLY_y,EVENT_COUNT_2020_WEEKLY_y,DAY_OF_YEAR_y
24,24.0,311,8055.084000000002,16016.716999999993,425,610,239,40975,311,8055.084000000002,16016.716999999993,425,610,239,40975
25,25.0,379,10571.429000000004,20983.70100000001,535,660,313,55806,379,10571.429000000004,20983.70100000001,535,660,313,55806
26,26.0,428,12849.023000000003,25335.385,663,1276,377,69720,428,12849.023000000003,25335.385,663,1276,377,69720
27,27.0,386,11376.153000000002,22518.537000000004,597,892,335,64288,386,11376.153000000002,22518.537000000004,597,892,335,64288
28,28.0,400,11617.129999999992,23110.60600000002,618,809,343,68236,400,11617.129999999992,23110.60600000002,618,809,343,68236
29,29.0,321,9633.392999999996,19161.85499999999,502,842,285,58710,321,9633.392999999996,19161.85499999999,502,842,285,58710
30,30.0,350,10232.468000000006,20259.32200000001,538,1299,302,64211,350,10232.468000000006,20259.32200000001,538,1299,302,64211
31,31.0,441,12646.946000000007,25016.711000000003,681,1230,372,81988,441,12646.946000000007,25016.711000000003,681,1230,372,81988
32,32.0,222,5389.964000000002,10769.179999999993,301,479,159,36168,222,5389.964000000002,10769.179999999993,301,479,159,36168
33,33.0,431,12801.078000000007,25329.737999999998,696,777,376,88005,431,12801.078000000007,25329.737999999998,696,777,376,88005
34,34.0,477,14042.035999999995,27817.218999999983,778,1416,413,99527,477,14042.035999999995,27817.218999999983,778,1416,413,99527
35,35.0,455,13845.812000000002,27371.31799999999,740,1673,405,100363,455,13845.812000000002,27371.31799999999,740,1673,405,100363
36,36.0,370,11532.610000000002,22802.421000000013,622,1177,337,85860,370,11532.610000000002,22802.421000000013,622,1177,337,85860
37,37.0,332,10577.570999999998,21024.95100000001,548,980,312,81697,332,10577.570999999998,21024.95100000001,548,980,312,81697
38,38.0,422,13432.914,26812.082999999995,726,1123,398,107100,422,13432.914,26812.082999999995,726,1123,398,107100
39,39.0,520,15814.917999999996,31261.180000000015,859,1272,466,128345,520,15814.917999999996,31261.180000000015,859,1272,466,128345
40,40.0,319,10181.943,20178.393999999997,553,864,300,84868,319,10181.943,20178.393999999997,553,864,300,84868
41,41.0,322,10345.287999999997,20575.47799999999,537,563,304,88178,322,10345.287999999997,20575.47799999999,537,563,304,88178
42,42.0,328,10476.580999999995,20837.475000000006,561,842,309,91758,328,10476.580999999995,20837.475000000006,561,842,309,91758
43,43.0,365,11432.045999999997,22647.787999999997,594,880,336,102064,365,11432.045999999997,22647.787999999997,594,880,336,102064
44,44.0,299,8956.339999999991,17752.384,477,523,264,82177,299,8956.339999999991,17752.384,477,523,264,82177
45,45.0,320,9485.271000000004,18899.942000000003,509,605,280,89039,320,9485.271000000004,18899.942000000003,509,605,280,89039
46,46.0,254,8201.515999999996,16228.207,440,406,242,78778,254,8201.515999999996,16228.207,440,406,242,78778
47,47.0,259,7740.627999999995,15260.037999999982,407,514,228,75745,259,7740.627999999995,15260.037999999982,407,514,228,75745
48,48.0,279,8712.531000000003,17266.057999999994,441,681,258,87403,279,8712.531000000003,17266.057999999994,441,681,258,87403
49,49.0,243,7439.222000000001,14770.524000000009,412,513,220,76111,243,7439.222000000001,14770.524000000009,412,513,220,76111
50,50.0,245,7465.081999999998,14691.469000000001,410,632,220,77671,245,7465.081999999998,14691.469000000001,410,632,220,77671
51,51.0,256,8050.159000000003,15813.229999999998,434,789,237,85481,256,8050.159000000003,15813.229999999998,434,789,237,85481
52,52.0,252,8030.761000000001,15697.671,428,587,236,86314,252,8030.761000000001,15697.671,428,587,236,86314
